QS1_2020_12_03_a.psd																																																																																																																																														
	SPDU	.	.	.	.	MPDU	.	.	.	.	.	.	.	.	NPDU	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	APDU	.	.	.	.	..	.	.	.	.	.	.	.	.	.																																																																																														
QS1_2020_12_03_a	info	no	time	delta	length	type	length	frameCtrl	seqNo	destPANid	destAddr	srcAddr	length	cs	type	cmd	protVers	discR	mcFlag	sec	srcR	destIEEEaddr	srcIEEEaddr	eDevInd	destAddr	srcAddr	bcRadius	bcSeqNo	destIEEEaddr	srcIEEEadr	mcCtrl	length	payload	type	dm	ack	sec	ackR	extHdr	destEP	grpAddr	clIdent	profIdent	srcEP	Cnt	cmdIdent	cmdType	length	payload																																																																																													
QS1_2020_12_03_a	3	11	43	0	121	DATA	121	bx1000100001100001	73	0xCC7B	0x0000	0x343A	110	.	DATA	.	2	ROUTE_EN	0	0	0	0	0	0	0x0000	0x343A	15	21	.	.	.	102	00.14.06.01.05.0f.14.00.80.10.00.05.71.40.fb.fb.51.b1.03.a9.0f.43.c2.00.15.60.54.15.40.54.02.50.54.01.30.00.04.be.00.30.00.00.06.a8.00.00.00.00.00.e7.00.00.01.f4.0e.00.00.14.82.66.00.00.15.34.dc.1f.00.03.00.10.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.c5.68.00.00.fe.fe	DATA	UNICAST	0	0	0	0	0x14	.	0x0106	0x0F05	0x14	0	.	.	94	80	10	0	5	71	40	fb	fb	51	b1	3	a9	0f	43	c2	0	15	60	54	15	40	54	2	50	54	1	30	0	4	be	0	30	0	0	6	a8	0	0	0	0	0	e7	0	0	1	f4	0e	0	0	14	82	66	0	0	15	34	dc	1f	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	c5	68	0	0	fe	fe
QS1_2020_12_03_a	3	64	342	0	121	DATA	121	bx1000100001100001	95	0xCC7B	0x0000	0x343A	110	.	DATA	.	2	ROUTE_EN	0	0	0	0	0	0	0x0000	0x343A	15	35	.	.	.	102	00.14.06.01.05.0f.14.02.80.10.00.05.71.40.fb.fb.51.b1.03.ab.0f.41.66.00.15.a0.64.14.80.64.02.80.64.01.30.00.04.ba.01.5c.00.00.02.a8.00.00.00.00.06.63.00.00.0f.a7.ce.00.00.a3.aa.8b.00.00.a7.a3.5b.1f.00.03.00.28.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.c5.68.00.00.fe.fe	DATA	UNICAST	0	0	0	0	0x14	.	0x0106	0x0F05	0x14	2	.	.	94	80	10	0	5	71	40	fb	fb	51	b1	3	ab	0f	41	66	0	15	a0	64	14	80	64	2	80	64	1	30	0	4	ba	1	5c	0	0	2	a8	0	0	0	0	6	63	0	0	0f	a7	ce	0	0	a3	aa	8b	0	0	a7	a3	5b	1f	0	3	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	c5	68	0	0	fe	fe
QS1_2020_12_03_a	3	106	642	0	121	DATA	121	bx1000100001100001	115	0xCC7B	0x0000	0x343A	110	.	DATA	.	2	ROUTE_EN	0	0	0	0	0	0	0x0000	0x343A	15	47	.	.	.	102	00.14.06.01.05.0f.14.03.80.10.00.05.71.40.fb.fb.51.b1.03.ab.0f.42.92.00.15.00.69.14.d0.68.02.d0.68.01.30.00.04.b7.02.87.00.00.00.08.00.00.00.00.0c.6b.00.00.1e.91.dc.00.01.3a.73.ed.00.01.45.5b.f2.1f.00.03.00.3b.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.c5.68.00.00.fe.fe	DATA	UNICAST	0	0	0	0	0x14	.	0x0106	0x0F05	0x14	3	.	.	94	80	10	0	5	71	40	fb	fb	51	b1	3	ab	0f	42	92	0	15	0	69	14	d0	68	2	d0	68	1	30	0	4	b7	2	87	0	0	0	8	0	0	0	0	0c	6b	0	0	1e	91	dc	0	1	3a	73	ed	0	1	45	5b	f2	1f	0	3	0	3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	c5	68	0	0	fe	fe
QS1_2020_12_03_a	3	148	942	0	121	DATA	121	bx1000100001100001	135	0xCC7B	0x0000	0x343A	110	.	DATA	.	2	ROUTE_EN	0	0	0	0	0	0	0x0000	0x343A	15	59	.	.	.	102	00.14.06.01.05.0f.14.04.80.10.00.05.71.40.fb.fb.51.b1.03.ab.0f.3f.f8.00.15.50.6c.14.20.6c.01.10.6c.01.30.00.04.b9.03.b3.00.00.00.08.00.00.00.00.13.1c.00.00.2e.1c.3b.00.01.da.3a.ea.00.01.ec.3f.26.1f.00.03.00.49.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.c5.68.00.00.fe.fe	DATA	UNICAST	0	0	0	0	0x14	.	0x0106	0x0F05	0x14	4	.	.	94	80	10	0	5	71	40	fb	fb	51	b1	3	ab	0f	3f	f8	0	15	50	6c	14	20	6c	1	10	6c	1	30	0	4	b9	3	b3	0	0	0	8	0	0	0	0	13	1c	0	0	2e	1c	3b	0	1	da	3a	ea	0	1	ec	3f	26	1f	0	3	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	c5	68	0	0	fe	fe
QS1_2020_12_03_a	3	190	1243	0	121	DATA	121	bx1000100001100001	155	0xCC7B	0x0000	0x343A	110	.	DATA	.	2	ROUTE_EN	0	0	0	0	0	0	0x0000	0x343A	15	71	.	.	.	102	00.14.06.01.05.0f.14.05.80.10.00.05.71.40.fb.fb.51.b1.03.ac.0f.43.8f.00.15.30.6e.14.f0.6d.01.f0.6d.01.30.00.04.b7.04.e0.00.00.00.08.00.00.00.00.1a.38.00.00.3d.45.38.00.02.7d.a5.58.00.02.96.e7.cf.1f.00.03.00.70.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.c5.68.00.00.fe.fe	DATA	UNICAST	0	0	0	0	0x14	.	0x0106	0x0F05	0x14	5	.	.	94	80	10	0	5	71	40	fb	fb	51	b1	3	ac	0f	43	8f	0	15	30	6e	14	f0	6d	1	f0	6d	1	30	0	4	b7	4	e0	0	0	0	8	0	0	0	0	1a	38	0	0	3d	45	38	0	2	7d	a5	58	0	2	96	e7	cf	1f	0	3	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	c5	68	0	0	fe	fe
QS1_2020_12_03_a	3	233	1543	0	121	DATA	121	bx1000100001100001	175	0xCC7B	0x0000	0x343A	110	.	DATA	.	2	ROUTE_EN	0	0	0	0	0	0	0x0000	0x343A	15	83	.	.	.	102	00.14.06.01.05.0f.14.06.80.10.00.05.71.40.fb.fb.51.b1.03.ac.0f.42.08.00.1b.00.65.1a.50.65.08.e0.5b.04.70.27.04.b6.06.0c.00.00.00.28.00.00.00.08.60.2b.00.00.64.0b.8d.00.03.35.41.9b.00.03.57.89.a6.1f.00.03.04.40.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.c5.68.00.00.fe.fe	DATA	UNICAST	0	0	0	0	0x14	.	0x0106	0x0F05	0x14	6	.	.	94	80	10	0	5	71	40	fb	fb	51	b1	3	ac	0f	42	8	0	1b	0	65	1a	50	65	8	e0	5b	4	70	27	4	b6	6	0c	0	0	0	28	0	0	0	8	60	2b	0	0	64	0b	8d	0	3	35	41	9b	0	3	57	89	a6	1f	0	3	4	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	c5	68	0	0	fe	fe
QS1_2020_12_03_a	3	275	1843	0	121	DATA	121	bx1000100001100001	195	0xCC7B	0x0000	0x343A	110	.	DATA	.	2	ROUTE_EN	0	0	0	0	0	0	0x0000	0x343A	15	95	.	.	.	102	00.14.06.01.05.0f.14.07.80.10.00.05.71.40.fb.fb.51.b1.03.ac.0f.44.67.00.1e.30.65.1c.b0.64.0a.40.5f.05.f0.29.04.b6.07.38.00.00.00.28.00.00.00.17.f2.55.00.00.a5.bf.2f.00.04.01.75.45.00.04.2d.79.67.1f.00.03.04.3f.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.c5.68.00.00.fe.fe	DATA	UNICAST	0	0	0	0	0x14	.	0x0106	0x0F05	0x14	7	.	.	94	80	10	0	5	71	40	fb	fb	51	b1	3	ac	0f	44	67	0	1e	30	65	1c	b0	64	0a	40	5f	5	f0	29	4	b6	7	38	0	0	0	28	0	0	0	17	f2	55	0	0	a5	bf	2f	0	4	1	75	45	0	4	2d	79	67	1f	0	3	4	3f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	c5	68	0	0	fe	fe
QS1_2020_12_03_a	3	317	2142	0	121	DATA	121	bx1000100001100001	215	0xCC7B	0x0000	0x343A	110	.	DATA	.	2	ROUTE_EN	0	0	0	0	0	0	0x0000	0x343A	15	107	.	.	.	102	00.14.06.01.05.0f.14.08.80.10.00.05.71.40.fb.fb.51.b1.03.ad.0f.44.5d.00.16.20.72.15.f0.71.01.e0.71.01.30.00.04.b9.08.63.00.00.00.a8.00.00.00.24.05.5b.00.00.e1.f1.2f.00.04.cb.d1.cf.00.05.00.a2.27.1f.00.03.04.40.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.c5.68.00.00.fe.fe	DATA	UNICAST	0	0	0	0	0x14	.	0x0106	0x0F05	0x14	8	.	.	94	80	10	0	5	71	40	fb	fb	51	b1	3	ad	0f	44	5d	0	16	20	72	15	f0	71	1	e0	71	1	30	0	4	b9	8	63	0	0	0	a8	0	0	0	24	5	5b	0	0	e1	f1	2f	0	4	cb	d1	cf	0	5	0	a2	27	1f	0	3	4	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	c5	68	0	0	fe	fe
QS1_2020_12_03_a	3	357	2442	0	121	DATA	121	bx1000100001100001	234	0xCC7B	0x0000	0x343A	110	.	DATA	.	2	ROUTE_EN	0	0	0	0	0	0	0x0000	0x343A	15	119	.	.	.	102	00.14.06.01.05.0f.14.09.80.10.00.05.71.40.fb.fb.51.b1.03.ae.0f.44.33.00.20.10.63.1f.90.60.0c.10.63.05.d0.2e.04.ba.09.8f.00.00.00.88.00.00.00.30.47.94.00.01.20.7f.4c.00.05.98.b0.d1.00.05.d8.af.76.1f.00.03.04.44.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.c5.68.00.00.fe.fe	DATA	UNICAST	0	0	0	0	0x14	.	0x0106	0x0F05	0x14	9	.	.	94	80	10	0	5	71	40	fb	fb	51	b1	3	ae	0f	44	33	0	20	10	63	1f	90	60	0c	10	63	5	d0	2e	4	ba	9	8f	0	0	0	88	0	0	0	30	47	94	0	1	20	7f	4c	0	5	98	b0	d1	0	5	d8	af	76	1f	0	3	4	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	c5	68	0	0	fe	fe
